# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection add function
# Column 3 = Avg time for BinSearchCollection add function
# Column 4 = Avg time for HashTableCollection add function
# Column 5 = Avg time for BSTCollection add function
# Column 6 = Avg time for AVLollection add function
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.00 0.34 0.00 0.01 0.01
2048 0.00 0.65 0.00 0.03 0.01
3072 0.00 1.15 0.01 0.04 0.01
4096 0.00 1.34 0.01 0.05 0.01
5120 0.52 2.05 0.01 0.06 0.01
6144 0.00 2.32 0.02 0.07 0.01
7168 0.00 2.52 0.02 0.09 0.01
8192 0.00 2.66 0.02 0.10 0.01
9216 0.00 3.01 0.02 0.11 0.01
10240 1.08 4.76 0.02 0.13 0.01
11264 0.00 4.52 0.02 0.14 0.01
12288 0.00 4.64 0.02 0.29 0.01
13312 0.00 4.86 0.02 0.17 0.01
14336 0.00 4.92 0.02 0.18 0.01
15360 0.00 7.37 0.03 0.19 0.01
16384 0.00 7.72 0.02 0.25 0.01
17408 0.00 7.59 0.02 0.21 0.01
18432 0.00 10.58 0.04 0.22 0.03
19456 0.00 11.47 0.04 0.24 0.02
20480 4.23 8.41 0.04 0.32 0.01
21504 0.00 13.73 0.04 0.26 0.01
22528 0.00 8.83 0.04 0.32 0.01
23552 0.00 11.53 0.04 0.30 0.01
24576 0.00 14.85 0.04 0.32 0.01
25600 0.00 11.46 0.04 0.31 0.01
26624 0.00 9.58 0.04 0.33 0.01
27648 0.00 9.67 0.04 2.82 0.01
28672 0.00 9.86 0.04 0.38 0.01
29696 0.00 10.13 0.04 0.46 0.01
30720 0.00 10.77 0.04 0.51 0.01
31744 0.00 12.86 0.04 0.41 0.01
32768 0.00 17.48 0.04 0.41 0.01
33792 0.00 10.75 0.05 0.46 0.01
34816 0.00 10.95 0.04 0.44 0.01
