# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection remove function
# Column 3 = Avg time for BinSearchCollection remove function
# Column 4 = Avg time for HashTableCollection remove function
# Column 5 = Avg time for BSTCollection remove function
# Column 6 = Avg time for AVLCollection remove function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.66 0.19 0.00 0.04 0.00
2048 1.30 0.40 0.00 0.10 0.01
3072 2.18 0.65 0.00 0.12 0.01
4096 2.59 0.78 0.00 0.16 0.01
5120 3.13 0.90 0.00 0.22 0.01
6144 4.10 1.24 0.00 0.24 0.01
7168 4.65 1.37 0.00 0.27 0.01
8192 5.19 1.86 0.00 0.34 0.01
9216 5.71 1.74 0.00 0.35 0.01
10240 6.29 1.80 0.00 0.37 0.01
11264 7.60 2.40 0.00 0.42 0.01
12288 8.21 2.50 0.00 0.44 0.01
13312 8.70 2.67 0.00 0.49 0.01
14336 9.29 2.82 0.00 0.55 0.01
15360 9.81 2.96 0.00 0.70 0.01
16384 10.51 3.03 0.00 0.62 0.02
17408 10.91 3.17 0.00 0.64 0.01
18432 18.09 3.28 0.00 0.67 0.01
19456 13.00 3.40 0.00 0.71 0.01
20480 16.95 3.54 0.00 0.75 0.01
21504 14.75 5.58 0.00 0.81 0.01
22528 15.95 4.75 0.00 0.86 0.01
23552 15.84 4.94 0.00 0.83 0.01
24576 16.31 5.01 0.00 0.90 0.01
25600 16.98 5.17 0.00 0.93 0.01
26624 17.43 5.22 0.00 0.98 0.01
27648 17.92 5.40 0.00 1.05 0.01
28672 21.74 5.57 0.00 1.06 0.01
29696 19.14 5.58 0.00 1.09 0.01
30720 19.47 5.79 0.00 1.13 0.01
31744 20.24 5.88 0.00 1.18 0.01
32768 20.73 6.02 0.00 1.20 0.01
33792 22.35 6.15 0.00 1.26 0.01
34816 21.72 6.26 0.00 1.32 0.01
