# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection find-value function
# Column 3 = Avg time for BinSearchCollection find-value function
# Column 4 = Avg time for HashTableCollection find-value function
# Column 5 = Avg time for BSTCollection find-value function
# Column 6 = Avg time for AVLCollection find-value function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.24 0.01 0.00 0.02 0.00
2048 0.49 0.01 0.00 0.04 0.00
3072 0.80 0.01 0.00 0.09 0.00
4096 1.03 0.01 0.00 0.10 0.00
5120 1.09 0.01 0.00 0.10 0.00
6144 1.38 0.01 0.00 0.13 0.00
7168 1.51 0.01 0.01 0.14 0.00
8192 1.67 0.01 0.00 0.17 0.00
9216 1.99 0.01 0.00 0.19 0.00
10240 2.18 0.01 0.00 0.27 0.00
11264 2.35 0.01 0.00 0.29 0.00
12288 2.53 0.01 0.00 0.25 0.00
13312 2.76 0.01 0.00 0.30 0.00
14336 2.97 0.01 0.00 0.30 0.00
15360 3.20 0.01 0.00 0.32 0.01
16384 3.40 0.01 0.00 0.34 0.00
17408 4.47 0.01 0.00 0.36 0.00
18432 3.85 0.01 0.00 0.37 0.00
19456 4.09 0.01 0.00 0.41 0.00
20480 4.28 0.01 0.00 0.43 0.00
21504 4.44 0.01 0.00 0.47 0.00
22528 4.64 0.01 0.00 0.53 0.00
23552 4.88 0.01 0.00 0.50 0.00
24576 5.08 0.01 0.00 0.53 0.00
25600 5.61 0.01 0.00 0.54 0.00
26624 5.48 0.01 0.00 0.57 0.00
27648 5.75 0.01 0.00 0.59 0.00
28672 5.89 0.01 0.00 0.62 0.00
29696 6.45 0.01 0.00 0.64 0.00
30720 8.79 0.01 0.00 0.67 0.00
31744 8.11 0.03 0.00 0.67 0.00
32768 6.78 0.01 0.00 0.73 0.00
33792 7.02 0.01 0.00 0.73 0.00
34816 7.22 0.01 0.00 0.75 0.00
