# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection find-range function
# Column 3 = Avg time for BinSearchCollection find-range function
# Column 4 = Avg time for HashTableCollection find-range function
# Column 5 = Avg time for BSTCollection find-range function
# Column 6 = Avg time for AVLCollection find-range function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 1.66 1.61 2.88 1.25 1.22
2048 5.12 4.06 5.50 2.45 4.98
3072 8.11 5.76 6.69 3.68 4.93
4096 8.79 6.39 6.43 4.95 4.76
5120 8.37 9.86 7.99 6.15 5.94
6144 9.99 9.76 16.53 11.04 5.85
7168 19.39 22.70 23.24 20.03 6.91
8192 30.99 26.58 25.95 21.16 9.55
9216 31.67 28.40 28.52 21.94 11.41
10240 33.56 17.81 16.16 12.39 11.83
11264 19.97 17.89 17.40 14.19 13.53
12288 20.89 20.39 19.25 16.07 15.49
13312 22.75 21.89 20.97 19.88 17.33
14336 24.38 49.10 30.91 20.71 19.87
15360 26.80 25.64 25.69 20.43 20.25
16384 27.54 25.44 25.83 20.80 21.97
17408 29.30 31.71 31.24 22.29 21.94
18432 30.54 29.68 36.44 22.80 22.43
19456 32.05 30.27 31.13 23.91 27.76
20480 43.15 32.01 33.31 26.25 24.99
21504 36.79 35.22 33.79 26.67 25.78
22528 36.97 38.95 35.08 33.24 28.34
23552 39.02 37.86 38.11 32.07 29.88
24576 40.80 41.64 40.16 31.41 30.49
25600 43.79 40.14 42.82 34.11 32.91
26624 44.56 42.81 42.79 35.31 34.48
27648 50.90 46.10 44.07 36.66 37.89
28672 48.85 45.09 45.78 37.97 37.57
29696 50.45 47.67 53.62 39.59 41.70
30720 58.67 48.40 58.35 40.93 39.18
31744 59.37 50.18 49.53 90.67 45.14
32768 61.10 51.03 59.00 43.58 46.12
33792 65.14 53.25 69.94 57.70 43.30
34816 66.01 55.69 59.33 46.07 45.45
