# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection sort function
# Column 3 = Avg time for BinSearchCollection sort function
# Column 4 = Avg time for HashTableCollection sort function
# Column 5 = Avg time for BSTCollection sort function
# Column 6 = Avg time for AVLCollection sort function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 8.26 0.74 4.82 0.51 1.41
2048 25.55 1.53 10.34 1.05 1.11
3072 54.98 2.49 14.38 1.87 2.12
4096 122.39 2.94 22.62 3.76 2.22
5120 122.65 3.47 26.32 2.32 2.46
6144 169.23 4.98 35.97 3.73 4.15
7168 220.60 5.45 38.62 4.00 4.62
8192 285.19 5.89 44.54 4.34 4.68
9216 372.40 6.63 52.28 5.24 5.47
10240 452.53 6.98 57.31 4.80 5.19
11264 517.81 9.49 73.52 7.37 7.95
12288 635.16 10.90 73.13 8.06 8.43
13312 725.39 10.65 79.23 8.03 8.81
14336 829.22 10.95 85.24 8.38 9.03
15360 931.55 11.49 93.50 8.94 9.28
16384 1028.87 11.84 102.48 9.04 9.54
17408 1172.24 12.22 98.24 8.86 9.70
18432 1308.33 12.86 115.75 8.88 10.10
19456 1449.00 13.05 114.66 9.14 10.03
20480 1588.93 13.71 133.78 9.64 23.99
21504 1827.78 18.60 136.63 14.41 15.58
22528 2104.89 19.12 138.26 14.91 15.87
23552 2082.77 19.46 163.97 14.96 17.99
24576 2288.17 19.80 179.63 16.04 16.21
25600 2457.01 20.58 181.66 15.42 16.75
26624 2655.49 20.84 187.42 16.05 16.87
27648 2859.24 21.76 195.75 16.29 17.31
28672 3050.38 22.43 206.72 16.79 17.27
29696 3269.76 22.27 197.35 16.51 17.62
30720 3482.52 22.65 197.52 17.04 18.22
31744 3669.45 23.03 207.40 17.66 18.80
32768 3929.64 24.27 224.90 17.15 19.09
33792 4150.47 24.07 214.61 17.41 18.27
34816 4495.03 24.65 226.81 17.93 18.70
